##############	##### OUTPUT FILE	: joey40.dat	###################


TIME (ns)  SUR	FACE TEMPERATURE(	"K), MELT DEPT"	H(A) & EVAPN. DEPTH(A)
72.0000458	337.9250183	0	0
72.2000427	338.1529541	0	0
72.4000397	338.3818359	0	0
72.6000366	338.6116943	0	0
72.8000336	338.8424988	0	0
73.0000305	339.0742798	0	0
73.2000275	339.3070068	0	0
73.4000244	339.5407104	0	0
73.6000214	339.7753906	0	0
73.8000183	340.0110474	0	0
74.0000153	340.2476807	0	0
74.2000122	340.4852905	0	0
74.4000092	340.723877	0	0
74.6000061	340.9634399	0	0
74.8000031	341.2039795	0	0
75	341.4455261	0	0
75.1999969	341.6880493	0	0
75.3999939	341.9315796	0	0
75.5999908	342.1760864	0	0
75.7999878	342.4216003	0	0
75.9999847	342.6680908	0	0
76.1999817	342.9155884	0	0
76.3999786	343.1641235	0	0
76.5999756	343.4136353	0	0
76.7999725	343.6641541	0	0
76.9999695	343.9156799	0	0
77.1999664	344.1682129	0	0
77.3999634	344.4217834	0	0
77.5999603	344.6763611	0	0
77.7999573	344.9319458	0	0
77.9999542	345.1885681	0	0
78.1999512	345.4461975	0	0
78.3999481	345.7048645	0	0
78.5999451	345.9645691	0	0
78.799942	346.2252808	0	0
78.999939	346.48703	0	0
79.1999359	346.7498169	0	0
79.3999329	347.0136414	0	0
79.5999298	347.2785034	0	0
79.7999268	347.5444031	0	0
79.9999237	347.8113708	0	0
80.1999207	348.0793457	0	0
80.3999176	348.3484192	0	0
80.5999146	348.6184998	0	0
80.7999115	348.8896484	0	0
80.9999084	349.1618347	0	0
81.1999054	349.4351196	0	0
81.3999023	349.7094421	0	0
81.5998993	349.9848022	0	0
81.7998962	350.261261	0	0
81.9998932	350.5387573	0	0
82.1998901	350.8173523	0	0
82.3998871	351.0969849	0	0
82.599884	351.3777161	0	0
82.799881	351.6595154	0	0
82.9998779	351.9423828	0	0
83.1998749	352.2263489	0	0
83.3998718	352.5113831	0	0
83.5998688	352.7975159	0	0
